LATITUDE,LONGITUDE,ID
62.09199,-145.57265,70699
62.09199,-145.5,70698
64.072975,-145.671352,70697
63.7336,-148.8974,70696
63.956644,-145.480844,70693
64.86035,-147.707367,70692
63.434167,-148.870167,70690
62.038717,-150.06125,70691
64.053892,-145.739613,70688
64.835217,-147.567383,70695
66.4627778,-148.9908333,70685
60.48776,-150.87005,70689
64.908917,-148.263783,70684
60.284441,-151.280086,70683
60.4918889,-151.159,70681
64.78525,-141.2261,70680
63.331667,-142.975033,70679
64.2173056,-149.3032778,70678
63.353167,-143.002833,70677
64.653617,-148.69,70686
63.2205556,-143.2219444,70562
60.7426945,-151.1936944,70561
58.5240278,-134.8335833,70559
60.79947,-151.012951,70560
60.5371667,-150.4688333,70558
63.1411389,-142.5441667,70555
63.3433611,-143.0120278,70554
65.1783333,-144.1797222,70553
64.0296667,-145.61325,70551
62.5715278,-142.7038055,70550
56.3848889,-132.4053333,70548
64.21905,-149.302867,70549
58.417335,-134.523452,70552
63.35115,-143.02225,70547
63.6561111,-148.8180556,70546
66.2760833,-154.9455833,70545
62.001733,-145.415133,70543
64.1086667,-145.7786944,70542
55.6388889,-132.4784444,70544
63.3011111,-143.0766667,70540
64.0631667,-145.6567778,70541
62.096517,-146.207983,70539
63.912833,-141.071167,70538
59.6011667,-151.4097222,70537
62.304317,-150.098233,70536
66.5561111,-145.1919444,70535
65.4197778,-143.4731944,70534
64.0583333,-152.97,70533
64.215,-145.780283,70532
63.9453889,-152.6133056,70531
63.9288056,-145.6045,70530
61.369622,-155.209785,70529
62.6845,-156.4025,70528
63.2397222,-155.1021944,70527
63.2463889,-155.1703889,70526
63.938313,-145.832487,70525
64.47805,-144.351117,70524
65.196383,-148.161667,70523
66.791383,-145.576667,70519
65.0737222,-148.017,70521
65.3626667,-148.6678611,70520
64.8513889,-148.8407778,70517
64.35695,-141.41555,70515
63.290833,-141.101383,70516
62.1498333,-150.089,70518
66.764,-145.8654167,70513
64.8448333,-141.2907222,70514
63.499167,-143.471,70512
67.029667,-146.518167,70511
64.9443333,-148.8519445,70510
58.67,-156.04,70508
63.368133,-143.4225,70509
65.2426667,-148.9036666,70505
65.0108333,-141.172,70503
63.353783,-143.029383,70504
63.423568,-142.634271,70501
60.6937222,-151.2505833,70502
64.8128333,-147.6256667,70500
61.4240555,-148.5065,70499
63.992333,-143.467667,70498
62.4603611,-146.6828334,70497
60.5166667,-151.0474444,70496
58.0861389,-135.4685556,70495
63.9530278,-146.2849722,70494
64.967217,-149.13055,70493
61.4027222,-148.601,70492
59.6011945,-151.4096944,70491
60.4950833,-151.0606944,70490
60.4878889,-150.2631111,70489
63.698833,-144.309667,70487
58.372125,-134.726311,70486
63.32595,-142.9924,70485
64.29805,-145.30675,70484
65.3208333,-141.1098333,70483
60.4456389,-150.1684444,70482
61.006667,-149.083889,70481
64.3456111,-146.84025,70480
60.7188333,-151.2459167,70478
60.3263889,-154.0633333,70479
60.2503333,-151.1945,70476
60.5043611,-151.1873889,70475
65.43945,-141.136117,70473
65.0572222,-147.8771945,70472
61.424667,-148.532633,70471
66,-150.7666667,70470
55.8990278,-132.9309445,70474
67.9936667,-159.9991667,70466
68.1868333,-161.2233333,70465
62.102548,-150.032372,70467
65.25,-157.21,70464
66.2843333,-155.5026667,70463
65.5126667,-156.1975,70461
60.5381389,-150.738,70462
62.0518333,-163.2663333,70460
66.067167,-157.128833,70459
65.7551944,-146.8857222,70458
67.397,-148.7611667,70457
64.298883,-145.164167,70456
63.2349722,-142.3267778,70455
66.328667,-145.561033,70454
64.1297222,-146.4396944,70452
61.570833,-149.32345,70453
64.30465,-145.30735,70451
65.5838889,-154.1541667,70449
60.289,-151.2541111,70450
64.470833,-144.9615,70447
65.9416667,-147.5594445,70446
65.53,-141.161,70445
61.570617,-149.163265,70448
67.1325,-154.1591667,70444
63.7523889,-148.9145,70442
64.9186111,-141.7277778,70441
64.6830556,-146.2758333,70440
61.510008,-149.949691,70439
65.7393333,-157.1519445,70438
64.795,-150.977,70431
60.2493611,-151.22225,70436
62.102433,-150.03105,70435
66.899167,-141.31555,70437
65.4,-148.3641111,70433
60.4872778,-151.0150833,70469
67.4411111,-148.7580556,70434
65.3296111,-148.4465278,70432
65.403,-148.1764167,70430
64.9602778,-147.2478056,70362
64.797217,-147.511117,70361
66.22,-151.1416667,70360
61.407693,-149.138215,70359
66.87,-152.0288333,70358
66.8529167,-152.068,70357
65.8723889,-151.30275,70354
64.777967,-149.10895,70355
60.5655833,-151.1325,70356
60.5124722,-151.1814167,70352
60.5125278,-151.1817222,70353
63.901,-149.7838334,70351
64.691383,-145.18555,70350
65.4,-148.2083333,70349
63.4338,-142.3305,70348
59.5817222,-150.9473611,70347
64.666117,-148.73195,70346
63.51,-149.45,70345
66.2545,-158.4226667,70344
66.2821667,-158.4793333,70343
66.2801667,-158.4833333,70342
63.3771667,-143.5558611,70341
63.5210278,-162.2852778,70339
64.5413889,-143.2494444,70337
64.133333,-145.766667,70338
63.1265833,-156.5021111,70336
63.4495,-143.4046667,70334
63.88,-150.04,70335
64.1946944,-147.9808055,70333
64.795,-147.73445,70332
61.8778889,-162.0838056,70330
64.367018,-145.55338,70331
66.7716667,-146.4208333,70329
65.2253333,-148.6306667,70327
63.6958333,-142.4458333,70328
66.800583,-157.0369,70326
66.051667,-146.66195,70324
61.93,-158.77,70340
64.43055,-141.769717,70323
62.96,-153.91,70321
64.6652778,-148.7328055,70320
65.5338889,-146.215,70318
61.51009,-148.82855,70319
63.377574,-143.357453,70317
61.34,-156.72,70315
65.7739444,-144.0760556,70314
59.71,-161.89,70316
64.8227778,-147.9416667,70313
62.92,-153.9,70322
64.7502222,-141.4015278,70312
63.0297222,-152.2544722,70310
65.32,-148.0568889,70311
65.5737778,-144.9106944,70309
58.6029167,-134.9221667,70325
60.412,-149.29825,70308
