ESTIMATEDTOTALACRES,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,SPRUCE,MUNDRA,GRASS,BRUSH,HARD,LEAF,UNKNOWN,OTHER
0.2,0-25,Flat,0501-1500,1,0,0,0,1,0,0,0
10.6,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0.3,0-25,Flat,1501-2500,1,0,0,0,0,0,0,0
0.4,0-25,Flat,0501-1500,1,0,0,0,1,0,0,0
0,0-25,Flat,0-500,0,0,0,0,0,0,0,1
1.3,0-25,Flat,0-500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,1,0,0,0
0.1,0-25,Flat,0501-1500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,1,0,0,0,1,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,1,0,0,0
1551.2,0-25,East,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,1,0,0,0
0.1,0-25,Flat,0-500,1,0,0,0,0,0,0,0
50.6,0-25,Flat,0501-1500,1,1,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
1223,0-25,South East,0501-1500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,1501-2500,1,0,0,0,1,0,0,0
1,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
91.2,0-25,South East,0501-1500,1,0,0,0,1,0,0,0
0.1,0-25,Flat,0501-1500,1,0,0,0,1,0,0,0
0.1,0-25,Flat,0-500,0,0,1,1,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
2,0-25,Flat,0-500,0,1,0,0,0,0,0,0
30.5,0-25,West,0501-1500,1,0,0,0,0,0,0,0
4272.6,0-25,Flat,0-500,1,0,0,0,0,0,0,0
72.3,0-25,Flat,0-500,1,1,0,0,0,0,0,0
7990.7,0-25,Flat,0-500,0,1,1,0,0,0,0,0
4430,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
127.9,0-25,North West,0501-1500,0,0,0,0,1,0,0,0
6576.6,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,1,0,0,0,0,0
1,0-25,Flat,0-500,1,0,0,0,0,0,0,0
1000.5,0-25,Flat,0-500,0,0,0,1,0,0,0,0
1390.3,0-25,Flat,0501-1500,0,1,1,0,0,0,0,0
1894,0-25,East,0501-1500,0,1,0,0,0,0,0,0
69.8,0-25,Flat,0-500,1,1,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,1,0,0,0
644.2,0-25,Flat,0-500,0,1,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
61.4,0-25,Flat,0501-1500,1,1,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
39.5,0-25,Flat,0501-1500,1,1,0,0,1,0,0,0
25.7,0-25,Flat,0-500,1,0,0,0,0,0,0,0
4933.9,0-25,Flat,0501-1500,0,1,0,0,0,0,0,0
1.5,0-25,Flat,0-500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,0,1,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,1,0,0,0,0
0.1,0-25,Flat,0501-1500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,1,1,0,0,0,0
0.1,0-25,Flat,0-500,1,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0.9,0-25,Flat,0-500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,South East,0-500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,2501-3500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,2501-3500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,1,1,0,0,0
0.1,0-25,Flat,1501-2500,0,0,0,0,0,0,0,1
0.3,0-25,Flat,0-500,0,0,1,1,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,1,0,0,0
0.3,0-25,Flat,0501-1500,1,0,0,0,1,0,0,0
0.1,0-25,Flat,0501-1500,1,1,0,0,1,0,0,0
0.1,0-25,South East,1501-2500,0,1,0,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,0,0,0,0,0,1
0.1,0-25,Flat,1501-2500,0,0,0,0,0,0,0,1
0.3,0-25,Flat,1501-2500,1,0,0,0,0,0,0,0
140.2,26-40,South,1501-2500,1,0,1,0,0,0,0,0
0,0-25,Flat,0501-1500,0,0,1,1,0,0,0,0
0,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,0,0,0,0,0,1
0.3,0-25,East,0501-1500,0,0,1,0,0,1,0,0
0.1,0-25,Flat,0-500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,1501-2500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.3,0-25,Flat,0-500,0,0,1,1,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,1,0,0
0.1,0-25,South,0501-1500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,1,0,1,0,0,0,0,0
180.7,0-25,Flat,1501-2500,0,0,1,0,0,0,0,0
0.1,0-25,South West,1501-2500,0,0,0,1,0,0,0,0
0.7,0-25,Flat,0501-1500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0-500,0,0,1,0,0,0,0,0
0.1,0-25,Flat,0501-1500,0,0,0,0,0,0,0,1
3953.9,0-25,North East,1501-2500,0,0,1,0,0,0,0,0
